"Description","Count"
"truman alley bowling trip for opc volunteers",20
"time/location change per requestor",20
"time change per david slezak",20
"time change made at the request of e. schafer",20
"this is the talent for the residence staff reception. dartmouth",20
"this is a 20 person group (split into 4 tours) that is accompanying secretary kathleen sebelius",20
"this group will go to west wing to meet ambassador froman",20
"thi is a meeting on iraq, no principals",20
"they will wait with the vehicles on state place",20
"these are whmo members who have been selected to participate in the white house basketball challenge. members will rendezvous in the east wi",20
"the rain site for the event is the state floor",20
"talent waves for general reception 3a. watkins mill high school choir",20
"syracuse students briefing",20
"swearing in ceremony with the vice president",20
"student mentees",20
"scheduled for two hours bowling event starts @ 7:00 pm",20
"same attendees as #400271 and #400279",20
"sa1124 state arrival",20
"rose garden reception",20
"room changed per re questor",20
"requestor called to change time to appt. 9/13@0723",20
"requestor called to change time from 1200hrs to 1300hrs dk 02/07/12 1215hrs",20
"re clearing these guests for departure pick up previously cleared on u97102",20
"psa shoot on south grounds will be staged in the east wing",20
"potus meeting for photo with space shuttle endeavour crew",20
"potus",20
"please merge with u55130",20
"please leave my first initial. it?s how i appear in the system. taking child to daycare",20
"please leave my first initial. it?s how i appear in the system. picking up child from daycare",20
"per requestor to chg date on the appt. mw",20
"per clara gallagher, merge names to u17171",20
"open governemnt meeting",20
"now appointment please",20
"name relcear",20
"military family education meeting",20
"mentoring event with flotus",20
"mentees of flotus",20
"members will enter through the southwest gate",20
"members",20
"marine band for a holiday reception. they will not be within arms reach of the president",20
"many attendees",20
"mandatory security briefing",20
"lunch in honor of south korean president park geun-hye",20
"library event",20
"large group - west point",20
"joining forces briefing",20
"it-board transparency working group",20
"intermational climate around table meeting",20
"interagency liason meeting",20
"interagency housing meeting",20
"insurance commissioners meeting",20
"informational meeting",20
"hmx -marine one",20
"healthreform/outreach meeting",20
"guests will be attending the president's conversation with seniors",20
"gsa renovation meeting",20
"gsa personnel visiting construction zone",20
"group will be entering for a health care briefing",20
"govenors staffwill come in nw gate and stay at pebble beach",20
"george washington university students",20
"general reception 5",20
"for an interagency housing deputies meeting",20
"film screening with potus and flotus",20
"ew tour must enter through sherman park name and dob reclear",20
"ew tour must enter through sherman park large list clears part 2 (thank you!)",20
"epa budget hearing",20
"drop off/pick up family guests from north grounds",20
"depauw chamber",20
"depauw cello",20
"departure photo with potus",20
"date/time changed per requestor",20
"curatorial appointment",20
"congressional staff attending meeting with vpotus",20
"city hall fellows",20
"cir meeting",20
"chefs",20
"bussiness meeting",20
"briefing on disability policy",20
"bowling session",20
"bowling for group of friends",20
"bowling event for g teshome",20
"bowling (i made a mistake on the date of the last waves)",20
"barbeque for cabinet members",20
"attendees visiting for a meeting",20
"appointment vip",20
"appointment at eeob bowling alley",20
"annual gift shop trip for offduty opc volunteers rescheduled due to shutdown",20
"air force bagpipe band",20
"a bowling session has been scheduled for sarah tanno for a twohour period starting at 5:00 pm on 11/16/2014",20
"whmo security interview",19
"whmo members will rendezvous just inside the southwest gate",19
"west wing tour. names are releasable",19
"west wing tour there will be four blue badged staffers to escort the group./time changed per christa with assistance from sgt yokum",19
"we have the basketball court reserved",19
"waiting for superman visit",19
"ustrin neob only",19
"truman bowling lanes",19
"truman bowling alley time slot from 3:00pm 5:00pm",19
"truman bowling alley appointment at 1300",19
"truman bowling alley appointment at 11:00a.m",19
"time change per haubrich",19
"time change per ellie schafer",19
"time change made at the request of l. kline",19
"time change made at the request of donna coleman",19
"time change at the request of the requestor. kdc 2/13 @9:59",19
"this request is for a west wing tour",19
"these individuals will meet with potus in the west wing",19
"the appointments are for a bowling event in the truman bowling alley. havin baucom is hosting",19
"taping with the vp",19
"students for monday flotus lunch",19
"staff for summit members",19
"same group cleared this morning",19
"same attendees as #400271",19
"reggie love is a former white house staffer",19
"reclear for the event",19
"private dessert reception",19
"press, all day",19
"please wave these folks into the ne gate with blue badges",19
"please note that we will be bowling",19
"pick up/drop off parents and children access es/south grounds for guests of first family",19
"per victoria mccullough to chg location and rm no. mw",19
"per requestor change to eeob # 374",19
"per mr smith chg time on the appt. mw",19
"paesmem awardess mee",19
"olympic event with 2016 olympic committee, olympians, and two middle schools",19
"nova women's retention committee meeting",19
"new hires to attend without an eop pass",19
"new governors meeting with secretary donovan",19
"nasa staff bowling alley",19
"mocs and senators",19
"merged with u50690",19
"merged apt per irene hsu",19
"members of congress drivers",19
"meeting on clean energy",19
"meeting discussion the judges bill",19
"marine band musicians. they will not be within arms reach of the president",19
"location changed per requester",19
"location and room number changed per edward haubrich",19
"large group meeting: nuclear security summit",19
"iron majors meeting",19
"iraqi stakeholders briefing",19
"inter-agency meeting on international violence against women",19
"indian delegation",19
"in advance of the fellows trip to berlin",19
"gw vibes",19
"guests will enter through the nw gate",19
"going bowling",19
"for northwest gate",19
"entering through west wing and attending potus reception with mayors on state floor",19
"education and civil rights meeting with valerie jarrett, no principals. thanks",19
"east stroudsburg",19
"dpc led healthy kids working group",19
"diplomatic reception",19
"dinner for greek patriarch (army band)",19
"depauw jazz",19
"correction to dob",19
"cong ball",19
"clutch--please arp. will be coming in nw gate. time change per chelsea b dmc 6/4 @ 1249 hrs",19
"clears",19
"chesapeake flute consort",19
"cancelled and merged per requestor",19
"bowling alley with tina hansen",19
"army corps bowling",19
"additional contact joan romaine",19
"adding new guests from original request by richard smith",19
"**essential staff**",19
"ww tour.**",18
"wheelchair basketball",18
"west wing tour we have three tours of six people each reserved for this group",18
"west wing tour second staff escort sarah fenn",18
"west wing tour names are releasable",18
"visitors will be going to the bolling alley",18
"us senators and briefers",18
"u24421 merged to u24142 per ahmed",18
"truman bowling alley appointment",18
"trinity college quirks",18
"treasury employees",18
"time changed per ellie",18
"time change per francesca covey",18
"this is a outreach meeting",18
"this is a meeting",18
"this group was originally cleared in for 10:30 this morning under u81994. this meeting had to be rescheduled due to conflicting schedules",18
"supreme court",18
"students coming to the nfl public service announcement",18
"student group for briefing",18
"speech to grad students",18
"small meeting with the office of public engagement",18
"room changed per ed",18
"private dinner w/ chinese delegation",18
"please note that matthew simpson will have a guide dog",18
"per to be visited change per requestor",18
"per mary wall to chg rm mw",18
"onap policy meeting",18
"nyu cleftomaniacs",18
"northeast gate",18
"new hire without eop pass",18
"ne gate",18
"national medal of arts and humanities reception",18
"meeting with staff members from ombs interior branch",18
"meeting with cecilia",18
"meeting on afpak with stakeholders",18
"lunch appointment at the mess",18
"large group: nuclear security summit meeting",18
"intern speaker series",18
"innovation cohort meeting",18
"immigratoin meeting",18
"hmx1 program office for vh92 familiarity with south lawn helo operations",18
"health fair benefits will be held in the neob back lobby",18
"group kitchen garden tour",18
"girls roundtable meeting",18
"ew tour must enter through sherman park last name reclear",18
"ew tour must enter through sherman park dobs",18
"dnc event",18
"delet comments per donna coleman",18
"date change made at the request of c. bollinger",18
"communications message meeting",18
"changed to press number",18
"changed time per requestor",18
"ceremony",18
"cbcf bowling",18
"cancelled per requestor pandoria 1/16/14 3:40 pm",18
"camp kidz coming to dine at the navy mess",18
"breakfast with president bachelet of chile",18
"breakfast at the wh mess",18
"bowling at the truman bowling alley",18
"basket ball court",18
"almost large list: healthy kids working group, no senior staff participation",18
"430 b/c to ww roosevelt",18
"white house kitchen garden tour. group will arrive via ne gate",17
"west wing tour/time change made at the request of c. dixon",17
"weekly meeting u#: u14570appointment #: 653822",17
"visit",17
"va/dod meeting",17
"tour for smithsonian american art museum fellows",17
"time changed per requestor zaid hassan per liza heyman",17
"time change per margaret freshwater",17
"time change per christopher jonas",17
"the 17 members on the attached spreadsheet are already on an approved wh tour",17
"situation room appointment",17
"set-up detail for state arrival rehearsal",17
"senior health care meeitng",17
"room number changed per the requestor",17
"room change per requester",17
"room change from red to roosevelt per requestor",17
"resubmitted to adjust time",17
"representatives attending the open season employee benefits fair being held 11 2 in neob 1st floor back lobby area",17
"recleardob",17
"presentation in east briefing room",17
"potus photo op in the oval office for departing usss personnel",17
"potus appointment",17
"please note that a duplicate request may have been submitted by sheila lewis. please advise if that is the case",17
"person to be visited/room #/ location has been changed per requestor 07/25/12 1525hrs",17
"per areletha venson chg time to 5pm.mw",17
"omb briefing to basic strategic art program from the army war college",17
"no principals involved- education meeting",17
"new employee",17
"national oceans council principal meeting",17
"mentoring event",17
"mentee event with ope. thanks",17
"memorial day breakfast",17
"member of congress drivers",17
"meeting with staff member from ombs water and power branch",17
"marine band supporting a potus event",17
"marine band stage crew. the president will not be in attendance",17
"marine band stage crew. the president is not in attendance",17
"mailitary personnel will recheck the set-up of the south lawn for the state arrival ceremony. the president is not in attendance",17
"mailitary personnel set-up sl for state arrival ceremony/ potus not in attendance",17
"lunch in white house mess",17
"location change made at the request of e. alcantra",17
"location and room change per noah schwartz",17
"location & room # changed per david dietz",17
"intern picking up smart card",17
"interagency meeting disaster recovery",17
"guests will enter the complex through the north east gate",17
"group tour reclear name misspell",17
"group tour last name",17
"group tour clrs",17
"gift shop visit",17
"frugal engineering mtg",17
"for two names junior is at the end of their names on idfrancis john bianca jr.freeman nmn white jr",17
"food safety",17
"expected reclears for iftar dinner do not merge per james huse",17
"expanded east wing and west wing tour",17
"ew tour must enter through sherman park last name reclears",17
"drivers and military aides bringing guests to the medal of honor ceremoy",17
"dr*driver",17
"dinner party",17
"date/time change per requestor 2nd request 3/11/14",17
"cinco de mayo",17
"chilean miner rescuers",17
"briefing in jfk conference room",17
"breakfast with afghan delegation",17
"breakfast in honor of pakistani prime minister nawaz sharif",17
"breakfast in honor of iraqi prime minister",17
"bowling alley reserved 57pm",17
"bball court",17
"basic strategic art program visit to omb",17
"award winners for ceremony with potus",17
"annual awards ceremony",17
"agency staff for youth environment event",17
"037 bowling alley",17
"*essential staff*",17
"west wing tour...time changed per requestor",16
"west wing tour guided by gene sperling",16
"west wing tour date changed per requestor",16
"we would like an access list for this group.the last access list created for this type of group was u# dep212 appt# 457885",16
"waves for talent group that will be performing in booksellers next to the lower cross hall",16
"waiting for superman drop by visit",16
"usss garden tours",16
"truman bowling alley/date change made at the request of l. june bartlett",16
"truman bowling alley reservation 35 pm",16
"truman bolwing alley",16
"time changed per david",16
"time change per kim johnson",16
"time change per ahmed",16
"time change per a rangel",16
"time change made at the request of r. ahmed",16
"this group will be arriving to the sw gate meeting at the west wing and going down to the white house kitchen garden",16
"talent for who/eop reception",16
"south lawn series changed to press appointment p36437",16
"south lawn for basketball",16
"room change at the request of the requestor kdc 4/17 @ 15:44",16
"room 580",16
"requestor called to change room and location 9/17@1655. time change per requestor 9/17/12 17:36",16
"requestor called to change room # dk 03/09/12 1848hrs. per sophie kim chg time on the appt. 3/12/12 mw",16
"request (sf) merge with appointment # 680595",16
"reception for former staff",16
"reception for democratic house freshmen",16
"presidential food service gift shop wh volunteers",16
"please allow francesca covey to add people to this u#",16
"per rebecca ferdman chg time in the appt. mw",16
"per mr lierman chg time on the appt mw",16
"per julia duncan needed to chg the location mw",16
"onap interagency meeting",16
"ola attendees for patent reform reception",16
"ofa taping",16
"neob only",16
"names merged to u53818. 2 out of 16 were addtional names the others, duplicate",16
"monthly eep mtg",16
"metropolitan medical response system meeting",16
"members of us congress",16
"meeting.requestor called to change room & location 9/18@1527",16
"meeting with university presidents",16
"meeting with the broadcasting board of governors",16
"media briefing",16
"marine one departure changed time to 1500 hrs",16
"marine band for a flotus event",16
"location/room changes made at the request of pass holder",16
"location change per c.montani",16
"large staff meeting/timedateroom# change per matthews",16
"large group: nuclear sumit convention center staging vendor meeting",16
"kennedy center honors",16
"joining forces/time change made at the request of r. lewis",16
"interagency policy meetnig",16
"india economic strategy mtg",16
"i forgot to complete the waves",16
"health care ope meeting",16
"group tour reclear last name",16
"group tour appointment expired",16
"first tranche of names for clearance",16
"event around scotus",16
"eeob truman bowling alley 039",16
"eatery",16
"dpc interagency meeting",16
"discussion among several outside groups",16
"departure photo guests will need access to eeob/ww/oval office from 1530-1830 date changed from the 12th to today by",16
"ctr bioengagement metrics meetings",16
"craig anderson hmx1 whlo will be accompanying guests for the sl departure",16
"coming in for lunch/meeting with tom lue",16
"catherine powell is the poc for this event",16
"breakfast with newtown families",16
"boy scouts of america- meet and greet",16
"bowling rm change per requestor",16
"arriving early for holiday reception",16
"arriving early for congressional ball",16
"additional cong ball attendees entering through ww",16
"ww and blair house",15
"whmu medical volunteers",15
"white house west wing tour",15
"west wing tourdate change at the request of the requestor. kdc 8/14 @ 9:53",15
"west wing tour confirmed for 5",15
"west wing tour - 2 combined other escort is maurice owens. time changed per requestor",15
"weekly reclear u05391",15
"wedding ceremony",15
"us senator",15
"truman bowling alley 19002100 hours",15
"truman bowling alley 037",15
"time changed at submitters reques (thru william willson) t. 08/05 @ 08:30 hrs. sgt gunter",15
"time change per roberts",15
"time change per eryn sepp",15
"time change per duswalt",15
"time change per doody",15
"time change per alexandra sopko",15
"time change per a. williams",15
"time change made at the request of m. katz",15
"time change made at the request of ed haubrich",15
"time change made at the request of d. mann",15
"time change at the request of the requestor. kdc 2/15 @9",15
"time adjustment per p/h request",15
"this is a meeting with jenny kaplan about women's issues",15
"this is a latino educatoin meeting",15
"this is a bowling alley group",15
"this group will be arriving via bus to the southeast gate",15
"the white house fellows will be meeting with the first lady in the map room. location change at the request of the requestor. kdc 1/23/ 16:10",15
"state arrival reclear",15
"sorry to be late",15
"site survey",15
"rosie the riveter breakfast",15
"res party",15
"requestor change date",15
"releasable to the public",15
"regular appointment not press appointment",15
"reclear timed out",15
"rclr dob",15
"quarterly planners conference/ alt requestor",15
"quaker briefing with ope",15
"press holiday reception/merge to u63139",15
"presidential food service gift shop, no rm available",15
"potus is going to do a dropby at this meeting. thanks!",15
"please call me with any questions. thanks! tom",15
"persons are attendees for a promotion ceremony",15
"ozark mountain",15
"outreach coffee",15
"note: these invidiuals are attending a cabinetlevel meetng on monday. the meeting will either be in the roosevelt room or eeob 210. thanks",15
"noc bowling",15
"nelp meeting",15
"my family and i are having a large group luncheon in the wh mess board room at 1200",15
"mr. polk just sent the listing this morning for the meeting",15
"monique dorsainvil",15
"merged with u47137",15
"members of the etchberger family meeting the president in the oval office prior to the medal of honor event in the east room",15
"meeting with white house fellows",15
"meeting with the military aide to the president in ew 102",15
"meeting with dnsa haines in whsr along with a tour of the ww",15
"meeting was just scheduled this afternoon by dr. hebbeler",15
"meeting w/ students",15
"meeting rescheduled due to federal government office closures on 10/30 when hurricane sandy caused severe local weather conditions",15
"meeting on health care",15
"mbr",15
"lunch in honor of president mujica of uruguay",15
"lunch in honor of indonesian president joko widodo",15
"location and room change per shilpa hegde",15
"location and room # change per maurice owens",15
"interpreter",15
"health resources and services administration",15
"guests will enter in the ne gate",15
"guests for bowling alley",15
"gays mens chorus of washington dc talent for tour",15
"friends and family of mr. ballance who is being promoted to msgt (e7) usaf",15
"for preventing violence against women meeting with sarah lynn rosenthal",15
"foot soldier guests will enter via the ne gate",15
"food safety meeting/u74976",15
"flower shop",15
"feuerstein requested time change jla",15
"father's day bbq",15
"ew tour must enter through sherman park name rclr",15
"eeob bowling ally",15
"drumline for hbcu eo signing",15
"drivers to remain w/vehicle",15
"date and time change per danielle l. dmc 4/9 @ 1222 hrs",15
"coming in for lunch/meeting with keith fontenot",15
"coming in for bowling event with usds staff",15
"ceq interns attending marine one departure changed time to 15oo hrs",15
"caregivers and veterans bill signing",15
"breakfast in honor of tunisian president beji caid essebsi",15
"bowling ally party in eeob basement",15
"big 7+ meeting",15
"australian delegation meeting with the director of national intelligence",15
"attendees are military and dod personnel who will be bowling in the truman bowling alley. some may bring their bowling balls",15
"army war college basic strategic art program briefing",15
"alll reclears from today",15
"all us congress",15
"adjusting time for a previous waves request: appointment number 547680 (appt time should be 9am instead of 10am)",15
"*state department escorts*",15
"(kyn coalition)",15
"wounded warrior participants",14
"white house holiday briefings",14
"whiffenpoofs",14
"west wing tourtime change per requestor. kdc",14
"west wing tour/time chng per req",14
"west wing tour.. time changed per the requestor",14
"west wing tour date/time change per requestor",14
"weekly reclear reoccurring meeting",14
"visiting thai officials",14
"usuhs meeting",14
"updated rm and location per requester",14
"truman alley",14
"tonights vip guests will arrive via the ne gate and process through a1",14
"to build the economic forecast that underpins the midsession review of the fy 2015 budget",14
"to build the economic forecast for the midsession review of the fy 2015 budget",14
"time chnage per requestor",14
"time changed per requestor @1311 on 7.31.12",14
"time change per emily blakemore",14
"time change made at the request of k. doohan",14
"time adjustment per p/h",14
"this is womens meeting in the roselvelt room potus is schedualed to stop by",14
"this is the list of volunteer interpreters that will be present on the lawn",14
"they are here for the naturalization ceremony",14
"these guests will be entering through the ne gate on 15th for a tour of the garden",14
"the group will be on the state floor",14
"talent for general reception three b. yale whiffenpoofs",14
"state department staff and indian embassy team for a meeting with social office",14
"staff appointment",14
"special olympics/best buddies meet & greet",14
"situation room briefing",14
"room change per requestor and location",14
"returning to pick up camera equipment",14
"requestor called to change location of appt. 01/06 @ 0930",14
"requestor called to change date and time 4/6@1657",14
"requested on behalf of derek douglas",14
"request",14
"reclear now",14
"reclear for event",14
"please reclear. flotus event",14
"please excuse the delay i am returning from leave and the new hires below was not submittted previously for attendance to the breifing",14
"please call me at for any questions or issues. thanks! v/r tom",14
"personal",14
"per requestor change to west wing",14
"per p/h time change requested",14
"party will use the truman bowling alley (room #037)",14
"pacfc subcommittee",14
"opcs associate class and a number of staffers will be attending a screening of mandela: long walk to freedom this afternoon from 3:00pm6:00",14
"nova faculty",14
"no appointment or west wing tour. this event is a bowling party. thank you",14
"new staff w/out eop pass",14
"name reclears",14
"name rclr",14
"meeting/cancelled per angela holmes",14
"meeting with with cabinet agency staff from dept of ed and dept of interior",14
"meeting with staff members from onbs energy branch",14
"marine one departure on south lawn",14
"marine band musicians performing at the kennedy centers honors reception",14
"marine band members. they will not be within arms reach of the president",14
"lunch with balkan leaders",14
"location date and time change per requester",14
"location change",14
"location and room change per zaid hassan",14
"let's move psa taping",14
"internatinal meeting",14
"health care meeting with potus",14
"hanukkah reception - potus",14
"guests at truman bowling alley",14
"gsa meeting",14
"group tour dropped list for whmo. sorry",14
"group of syracuse students coming in to talk about political communications",14
"group includes one foreign national",14
"group has 1 pm meeting in eeob but 2 pm meeting will now be in neob",14
"gov gregoire meeting",14
"gcc dinner participants",14
"for bowling",14
"for a bcg presentation",14
"first lady michelle obama meeting with 20132014 white house fellows",14
"ew tour must enter through sherman park name flip",14
"eop basketball challenge",14
"england fishing industry meeting",14
"energy/environment stakeholders meeting",14
"dr. biden meeting",14
"dr bringing guests to the medal of honor ceremony",14
"dr - drivers",14
"dob for both",14
"depauw strings",14
"date time change per requestor",14
"date change per passholder",14
"date and time changed per requestor snow day",14
"dan pfeiffer reserved the basketball court for tonight from 6 to 8pm. please contact me if you have any questions. thanks",14
"cyber outreach meeting",14
"congressional ball",14
"coming in for lunch at wh mess",14
"clearance for india economic strategy meeting",14
"childhood obesity meeting",14
"chief of army dental corps visit/date/time change per req",14
"changed to work order number 094006",14
"ca state association of counties meeting",14
"bowling from 5-7pm",14
"bowling alley time 57pm",14
"bank ceo meeting",14
"attending a health fair in atrium",14
"attendees are all using the bowling alley in the eeob basementchanged per hawthorne 7/27 to 7/28",14
"an east wing tour has been scheduled for this group confirmation: cs34256",14
"all agency contacts",14
"60 minutes camera crew. will need to make mulitple trips to bring in equipment for interview with ondcp director michael botticelli",14
"037 truman bowling alley",14
"037 bowling alley appointment",14
"*japanese delegation*",14
"**japanese delegation**",14
"who/eop #2",13
"west wing tour. time changed per requestor",13
"west wing tour. if there are any questions or concerns please call",13
"west wing tour thanks again!",13
"west wing tour note: there will be 2 staff escorts for this west wing tour",13
"west wing tour date time change per requestor",13
"west wing tour 2",13
"west wing staff tour",13
"weezer",13
"waves appointment number u92404",13
"us climate action partnership mtg",13
"us attorney meeting with inspector rouscher",13
"urban institute education meeting",13
"truman bowling alley room 039",13
"tour reclear",13
"time changed per passholder",13
"time changed per nate",13
"time change per david lopez",13
"time change per astles jla",13
"time change made at the request of m. lee",13
"time change at the request of the requestor. kdc 8/30 @ 9:59",13
"this is the talent for general reception 5b. uva",13
"this is for the bowling alley",13
"this is for a ww tour",13
"this is a reclear",13
"these are guests that either are dob rclrs or not on the list",13
"talent for general reception 4b. princeton tiger tones",13
"staff for congressional members",13
"staff for china state dinner",13
"rosh hashanah reception",13
"room number correction per irene hsu",13
"residence clinic",13
"promotion ceremony iho merlene horan / indian treaty room",13
"presidential food service gift shop",13
"pr task force follow up/will meet at state st visitors entrance",13
"potus event",13
"poc tim bunker",13
"please add stephanie valencia to the u#",13
"photo with boy scout",13
"photo and greet",13
"per margrette appt changed from ww tour to bowling",13
"orientation",13
"official delegation",13
"ns/ep communications ipc",13
"now appt please",13
"nctc site visit",13
"meeting room sectrary of war suite",13
"meeting is being organized on behalf of derek douglas",13
"marine band roster",13
"lunch for ollanta humala of peru",13
"lra disarmament bill signing in oval",13
"location change per alhassani",13
"location and room number changed per requestor",13
"location and room change per david lopez",13
"location and room & time change per kenneth sandoval",13
"lewis bowling alley",13
"ipc will be held in the whsr executive conference room",13
"intern speaker series in south court auditorium",13
"interagency international disaster response framework",13
"india sub-ipc",13
"i do not know what the room number is for the truman bowling alley",13
"hunter college students",13
"health care meeting for ope",13
"guests will be entering for a briefing with public engagment staff",13
"guest will begin arriving at 3:00 pm",13
"group left off of list",13
"governors dr. they will remain with the vehicle",13
"gift shop visit for fulltime volunteers",13
"general meeting",13
"for a meeting in the roosevelt room",13
"flotus in attendance/locationroom change per requestor",13
"federal judges association meet and greet",13
"ew tour must enter through sherman park name reclear (last and first name reversed)",13
"epa bowling event",13
"energy meeting with ope",13
"east wing psa shoot",13
"driver to remain w/vehicle",13
"dr:driver",13
"dr. monarez just provided the info",13
"dr. mesfin just provided the info for the meeting",13
"dip corps",13
"date/time chnge per req",13
"date time rm change per requestor",13
"date of birth reclear",13
"date change per req",13
"date change per jin",13
"date and time change per jenny jourdain",13
"confirm location date and time changed per requestor",13
"coming through nw gate",13
"climate finance meeting",13
"capitals coaches",13
"breakfast with amir of qatar",13
"breakfast in honor of prime minister maliki of iraq",13
"breakfast in honor of iraqi kurdistan regional president masoud barzani",13
"boy scout group",13
"awaiting pass",13
"at gate",13
"appt canceled per jenny jourdain on 03/14/16",13
"appointment for the chief usher",13
"agency meeting with comms staff",13
"additions to a large youth briefing",13
"additional attendees",13
"wst wing tour",12
"will be met by nsc staff and escorted into wh event",12
"whmo omy ceremony at the south court auditorium",12
"white house west wing/time change made at the request of m. swanson",12
"white house truman bowling alley",12
"whca mission",12
"wh fellows meeting with vp",12
"west wing white house tour",12
"west wing tour/time change made at the request of d. robertson",12
"west wing tour. per requestor to chg time and the person to be visited",12
"west wing tour thanks",12
"west wing tour precleared on u21415 u21372 u21346",12
"west wing tour girl scout troop of 12 people. second staff escort is robert whisler phone contact",12
"west wing tour confirmed for 6",12
"west wing tour charlie gailbraith ww request/time change per requestor",12
"we are still waiting for vehicle and driver informaiton and will send that when we have it. thanks for your help with this!",12
"waves for bowling alley",12
"vp office",12
"volunteers for the wh kitchen garden",12
"visit from the basic strategic art program",12
"use of the truman bowling alley",12
"us interpreters time change per requetor",12
"ukraine delegation",12
"u.s. academy decathlon photo op",12
"to use the truman bowling alley",12
"time/room change per richardson",12
"time change per shelly marc",12
"time change per j.lee",12
"time change per andreas kinn",12
"time change made at the request of s. kim",12
"time change made at the request of s. feuerstein",12
"time and room number changes made @ the request of t. elson",12
"time and room changed per s. white",12
"time and date change at the request of the requestor. kdc 3/9 @14:45 west wing tour",12
"this is the group for our south lawn series at 3:30 5:00",12
"submitted to 24 hr waves by paul monteiro. approved",12
"state protocol escorts",12
"state dept staff escorting ambassadors",12
"sow room",12
"singchronize",12
"sca",12
"san francisco united",12
"rr= roosevelt room which is in the west wing",12
"room updated per requester",12
"room location change made at the request of c. gallagher",12
"rewaving asap: birthday/ssn inputted incorrectly",12
"requestor called to change time to appt. 4/26@1203",12
"requestor called to change time from 1730hrs to 1800hrs dk 11/30/11 1510hrs",12
"requestor called to change date and time to appt. 4/6@1658",12
"remain on state place",12
"reenlistment",12
"reclearname",12
"reclear from list",12
"reclear for same group u# u17954 appointment # 530111 (originally had the wrong date)",12
"potus greet participants",12
"poc is hilary brandenburg",12
"please wave for 12:30pm and 2:30pm",12
"please send guest to neob eatery on 2nd floor",12
"please add to u93946",12
"please add this name to u40306",12
"physician assistant education association",12
"phone number change per requestor",12
"per p/h time request change",12
"p/h request time adjustment",12
"new senators dinner",12
"new hires without eop pass and/or access to eeob",12
"national associatoin of towns and townships meetin",12
"names were merged to u89327. yt",12
"names merged to u42862",12
"name flip",12
"mexican embassy staff attending flotus event",12
"merged with u79831",12
"merged with u61611",12
"merge to u79209",12
"members of congress + 1 staff",12
"meetingdate change per requestor",12
"meeting with secretary mabus",12
"medal of honor recipient and his family will greet potus in the oval office",12
"mccants luke villa quinn zajde coleman",12
"mayor bloomberg security detail/staff",12
"mathcounts championship picture with potus",12
"marine band for potus event. state floor",12
"marine band country band. potus is not in attendance",12
"marine band coming for the morning hamilton event",12
"lunch in the mess",12
"location corrected from wh to eeob",12
"location change made at the request of n. schwartz",12
"location and room change per rebecca grimm",12
"litigation meeting",12
"library",12
"late folks for the large strong ciites strong communiites convening",12
"jhu allnighters",12
"if you need to contact darienne page please call",12
"i would like to take volunteers to the navy white house gift shop",12
"group tour reclear wrong dob",12
"group tour hs per wh counsel",12
"group tour clears",12
"geraud charles emmanual beguin is a french citizen",12
"financial reg reform guests",12
"ellipse parking will be coordinated",12
"eeob bowling alley with jeff reczek",12
"early arrivals",12
"dob rclr",12
"dc fire dept",12
"date time and location changes made per m. freshwater",12
"date chg per s.feldman",12
"date change per robertson",12
"date change per p. monteiro",12
"date change at the request of the requestor. kdc 8/28 @ 11:54",12
"compulsive lyers",12
"coming in for lunch/meeting with victoria espinel",12
"chns human factors subcommittee",12
"ca superintendents",12
"building location and person to be visited changes were made",12
"briefing with brian bond",12
"briefing for education leaders, no principals",12
"breakfast in honor of prime minister sharif of pakistan",12
"breakfast at white house mess",12
"breakfast at wh mess",12
"breakfast at the navy mess",12
"breakfast at navy mess",12
"bowling**",12
"bowling late i am sorry !! is there any way to rush this request?",12
"birthday party in the truman bowling alley",12
"basketball",12
"appt. to the ushers office",12
"approved west wing tour",12
"apppointment",12
"also g street 8th floor conference rooms",12
"agents and military aides to gen. mattis",12
"afagn women's meeting",12
"accompanying gen. petraeus",12
"**meeting participants**",12
"**delegation for working lunch**",12
"(s2s)",12
"west wing tour/ per syed time changed from 1835 to 1935",11
"west wing tour with the military aide to the president",11
"west wing tour all guests previously cleared under u# u36913 (they are currently on complex appointment # 429908)",11
"volunteer flowershop",11
"vietnamese delegation",11
"ute tribe of utah and the three affiliated tribes of north dakota",11
"uso group",11
"using truman bowling alley/time change per hildreth",11
"updated date per requestor",11
"two west wing tours lead by abigail hable and ian reed",11
"ttime change per k. lierman",11
"truman bowling confirmed 57 pm",11
"truman bowling alley...requestor called to change date from 1/15/12 to 1/16/12 dk 01/13/12 1729hrs",11
"truman bowling alley sw gate",11
"tour (sl)",11
"timed out please reclear",11
"time changed per e. haubrich",11
"time change per sandra fryhofer",11
"time change per jones",11
"time change per jaime kreager",11
"time change per escobar",11
"time change made at the request of the person to be visited",11
"time change made at the request of s. white",11
"time change made at the request of s. shulman",11
"time change made at the request of p. noblesjones",11
"time change consult w/requestor",11
"time change at the request of the requestor.kdc 2/28 @12:03",11
"this appt is for bowling partin in truman bowling alley",11
"these are appointments, not press",11
"student musicians and instructors",11
"state department escorts",11
"staff for gen milley (csa) gen walsh (csaf) and secretary mchugh",11
"speech",11
"spanish delegation",11
"south court auditorium for interns and fall vols to see henry desio speaker series",11
"social office to request permission for crew to enter at 15th and e for a psa shoot on the south lawn w flotus",11
"so sorry we thought these had already been submitted!",11
"senator stabenow and guests",11
"saa staff",11
"russian delegation",11
